Date,SJC_mua_vao,SJC_ban_ra,Gold_Close,USD_Index_Close,VN_Index_Close,Oil_Close,Interest_Rate,SJC_ban_ra_lag1,SJC_ban_ra_lag3,SJC_ban_ra_lag5,Gold_Close_lag1,Gold_Close_lag3,Gold_Close_lag5,SJC_return,Gold_return,SJC_ban_ra_sma10,SJC_ban_ra_sma30,SJC_ban_ra_rsi14,target
2018-02-12 00:00:00+00:00,36.82,37.04,1324.199951171875,90.20999908447266,1041.79,59.290000915527344,1.42,36.78,36.87,36.84,1313.0999755859375,1311.5999755859375,1333.0,0.007069059271343159,0.008453260065734547,36.870999999999995,36.838,55.97014925373126,37.12
2018-02-13 00:00:00+00:00,36.92,37.12,1328.0999755859375,89.69999694824219,1059.73,59.18999862670898,1.42,37.04,36.7,36.92,1324.199951171875,1316.9000244140625,1326.0999755859375,0.002159827213822796,0.002945192990387202,36.894,36.85033333333333,55.303030303030354,37.12
2018-02-14 00:00:00+00:00,36.92,37.12,1355.5,89.5980980682373,1059.73,60.59999847412109,1.42,37.12,36.78,36.87,1328.0999755859375,1313.0999755859375,1311.5999755859375,0.0,0.02063099534504098,36.918,36.86433333333333,48.24561403508775,37.12
2018-02-15 00:00:00+00:00,36.92,37.12,1352.0999755859375,89.5980980682373,1059.73,61.34000015258789,1.42,37.12,37.04,36.7,1355.5,1324.199951171875,1316.9000244140625,0.0,-0.0025083175315843143,36.943,36.88033333333333,48.67256637168136,37.12
2018-02-16 00:00:00+00:00,36.92,37.12,1353.199951171875,89.5980980682373,1059.73,61.68000030517578,1.42,37.12,37.12,36.78,1352.0999755859375,1328.0999755859375,1313.0999755859375,0.0,0.0008135312519776949,36.963,36.894666666666666,57.29166666666674,37.12
2018-02-20 00:00:00+00:00,36.92,37.12,1328.800048828125,89.72000122070312,1059.73,61.900001525878906,1.42,37.12,37.12,37.04,1353.199951171875,1355.5,1324.199951171875,0.0,-0.018031261619999017,36.991,36.912,63.218390804597554,37.12
2018-02-21 00:00:00+00:00,36.87,37.12,1330.0,90.08000183105467,1087.15,61.68000030517578,1.42,37.12,37.12,37.12,1328.800048828125,1352.0999755859375,1328.0999755859375,0.0,0.0009030336602811051,37.010999999999996,36.92933333333333,63.953488372092735,37.01
2018-02-22 00:00:00+00:00,36.88,37.01,1330.5999755859375,89.75,1076.03,62.77000045776367,1.42,37.12,37.12,37.12,1330.0,1353.199951171875,1355.5,-0.002963362068965525,0.0004511094631109991,37.025,36.94266666666667,57.29166666666674,36.99
2018-02-23 00:00:00+00:00,36.86,36.99,1328.199951171875,89.87999725341797,1102.85,63.54999923706055,1.42,37.01,37.12,37.12,1330.5999755859375,1328.800048828125,1352.0999755859375,-0.0005403944879761591,-0.001803715961294583,37.053999999999995,36.95399999999999,53.76344086021513,36.95
2018-02-26 00:00:00+00:00,36.8,36.95,1330.699951171875,89.81999969482422,1114.53,63.90999984741211,1.42,36.99,37.12,37.12,1328.199951171875,1330.0,1353.199951171875,-0.0010813733441470408,0.0018822467187973313,37.071000000000005,36.958999999999996,56.179775280898944,36.92
2018-02-27 00:00:00+00:00,36.77,36.92,1315.5,90.36000061035156,1119.61,63.0099983215332,1.42,36.95,37.01,37.12,1330.699951171875,1330.5999755859375,1328.800048828125,-0.0008119079837618504,-0.011422523280690933,37.059,36.95633333333333,50.0,36.7
2018-02-28 00:00:00+00:00,36.54,36.7,1315.5,90.61000061035156,1124.87,61.63999938964844,1.42,36.92,36.99,37.12,1315.5,1328.199951171875,1330.0,-0.005958829902491858,0.0,37.017,36.95066666666666,41.58415841584171,36.69
2018-03-01 00:00:00+00:00,36.51,36.69,1302.9000244140625,90.31999969482422,1115.79,60.9900016784668,1.51,36.7,36.95,37.01,1315.5,1330.699951171875,1330.5999755859375,-0.0002724795640328681,-0.00957808862480991,36.974000000000004,36.94466666666666,49.41176470588204,36.77
2018-03-02 00:00:00+00:00,36.61,36.77,1321.0999755859375,89.94000244140625,1121.21,61.25,1.51,36.69,36.92,36.99,1302.9000244140625,1315.5,1328.199951171875,0.0021804306350505787,0.013968801006093878,36.939,36.94466666666667,49.41176470588247,36.86
2018-03-05 00:00:00+00:00,36.68,36.86,1318.0999755859375,90.08000183105467,1093.48,62.56999969482422,1.51,36.77,36.7,36.95,1321.0999755859375,1315.5,1330.699951171875,0.0024476475387542607,-0.00227083495226732,36.913,36.94466666666666,36.764705882352956,36.82
2018-03-06 00:00:00+00:00,36.64,36.82,1333.5999755859375,89.62000274658203,1120.29,62.59999847412109,1.51,36.86,36.69,36.92,1318.0999755859375,1302.9000244140625,1315.5,-0.0010851871947911151,0.01175935079818946,36.882999999999996,36.943,26.562500000000256,36.84
2018-03-07 00:00:00+00:00,36.66,36.84,1326.0,89.63999938964844,1112.26,61.150001525878906,1.51,36.82,36.77,36.7,1333.5999755859375,1321.0999755859375,1315.5,0.0005431830526887449,-0.005698842025396944,36.855000000000004,36.94166666666667,28.787878787879364,36.82
2018-03-08 00:00:00+00:00,36.64,36.82,1319.9000244140625,90.12000274658205,1124.15,60.119998931884766,1.51,36.84,36.86,36.69,1326.0,1318.0999755859375,1302.9000244140625,-0.0005428881650381134,-0.004600283247313319,36.836,36.93633333333333,27.94117647058866,36.77
2018-03-09 00:00:00+00:00,36.59,36.77,1322.4000244140625,90.08999633789062,1123.41,62.040000915527344,1.51,36.82,36.82,36.77,1319.9000244140625,1333.5999755859375,1321.0999755859375,-0.0013579576317218622,0.0018940828500324525,36.81400000000001,36.92333333333333,26.027397260274498,36.76
2018-03-12 00:00:00+00:00,36.58,36.76,1319.4000244140625,89.9000015258789,1126.29,61.36000061035156,1.51,36.77,36.84,36.86,1322.4000244140625,1326.0,1318.0999755859375,-0.0002719608376394733,-0.0022686024989519993,36.795,36.910333333333334,25.675675675676004,36.73
